1384,3335,4282,1522,2651,4985,2819,1939,2222,1736,2910,3949,3828,4651,1384,3335,4282,2296,3542,4927
3168,2987,892,3572,2797,3225,2650,4558,1129,4826,3168,2987,892,4445,1597,1276,1459,2828,3572,1361
305,1661,3704,3021,4596,1530,72,712,4912,1836,2435,1073,495,3655,2143,4051,248,4270,863,1356
4596,2112,1202,2469,72,1191,816,1708,799,637,692,438,2178,4286,4341,4596,922,3210,4980,1673
1503,1405,1354,851,1784,142,4123,3688,1927,1125,458,4932,2608,687,429,926,3360,537,2098,4658
1169,3873,2773,3298,1715,2673,3926,1071,2656,3905,2246,3204,2520,3776,144,3780,1169,4645,4598,711
919,367,2489,185,4098,1256,192,2587,693,3194,2764,3971,4570,919,3557,2487,367,935,2792,4825
1280,3562,3486,3602,3373,2482,4640,4819,1533,1372,1280,3562,2363,2643,3486,3602,3173,1828,4421,3373
3397,4223,4894,3440,3722,1217,557,4381,2953,4700,3397,4223,4894,3440,4994,3722,1217,557,32,564
1280,3562,3602,3373,2482,1533,4640,4819,3486,1372,1280,2363,3562,3173,3602,2643,1828,3373,4421,63
1699,814,3974,3494,2156,723,3408,4695,4617,3970,3428,2879,1297,4682,3379,2522,494,3716,3024,677
2631,380,2542,3344,843,2975,2188,2291,2010,796,2254,2705,3137,262,166,3774,402,2631,2763,4823
4647,2079,4362,1247,3578,4818,271,689,2767,2831,4647,2079,4362,1247,3578,4818,271,567,689,2767
822,4631,2937,3307,2868,2894,875,4204,2174,3099,822,4241,1512,1735,1406,687,424,3439,458,1503
3653,1252,4537,1843,1284,3347,2234,534,1960,1808,1838,4725,442,3653,1252,1223,2453,4161,908,4456
3155,4631,3427,2868,3504,4383,2263,2983,4423,3868,3056,3924,3155,4631,1020,3993,1406,2061,2098,2576
3870,1472,2745,3597,3275,4755,2147,652,880,4821,1521,975,3870,1472,2745,350,4903,3597,3275,4755
4637,291,949,660,1876,1673,1754,1919,49,106,196,4637,4838,2878,3757,3596,1785,291,4814,508
1876,4775,3114,4286,4262,1673,4704,4248,1719,291,1498,1876,4838,2399,1066,4775,4552,3903,2877,748
210,2635,2070,3358,4848,3582,2216,1396,3432,1583,210,2635,2070,3358,4848,3582,2887,2216,1396,3432
